University,Course,Domain,Annual_Fee_INR,City,State_Province,Country,Region,Gender_Type,Website
University of Southern California,B.S. Computer Science,Engineering & Technology,5700000,Los Angeles,California,USA,North America,Co-Ed,https://www.usc.edu
Duke University,B.S. Biomedical Engineering,Engineering & Technology,5800000,Durham,North Carolina,USA,North America,Co-Ed,https://www.duke.edu
Northwestern University,B.S. Journalism,Media & Communication,5500000,Evanston,Illinois,USA,North America,Co-Ed,https://www.northwestern.edu
Cornell University,B.S. Hotel Administration,Management,5900000,Ithaca,New York,USA,North America,Co-Ed,https://www.cornell.edu
University of Washington,M.S. Information Systems,Engineering & Technology,3800000,Seattle,Washington,USA,North America,Co-Ed,https://www.uw.edu
Concordia University,B.Sc Software Engineering,Engineering & Technology,1500000,Montreal,Quebec,Canada,North America,Co-Ed,https://www.concordia.ca
McMaster University,B.Eng Electrical,Engineering & Technology,2200000,Hamilton,Ontario,Canada,North America,Co-Ed,https://www.mcmaster.ca
Dalhousie University,B.Sc Computer Science,Engineering & Technology,1800000,Halifax,Nova Scotia,Canada,North America,Co-Ed,https://www.dal.ca
RMIT University,B.Tech Computer Science,Engineering & Technology,2800000,Melbourne,Victoria,Australia,Oceania,Co-Ed,https://www.rmit.edu.au
University of Adelaide,B.Eng Mechanical,Engineering & Technology,2600000,Adelaide,South Australia,Australia,Oceania,Co-Ed,https://www.adelaide.edu.au
Curtin University,B.Sc Mining Engineering,Engineering & Technology,2400000,Perth,Western Australia,Australia,Oceania,Co-Ed,https://www.curtin.edu.au
Victoria University of Wellington,B.Sc Statistics,Science & Research,1800000,Wellington,Wellington,New Zealand,Oceania,Co-Ed,https://www.wgtn.ac.nz
University of Otago,M.B.Ch.B (MBBS),Medicine & Health,2200000,Dunedin,Otago,New Zealand,Oceania,Co-Ed,https://www.otago.ac.nz
Indian Institute of Technology Palakkad,B.Tech CSE,Engineering & Technology,200000,Palakkad,Kerala,India,South India,Co-Ed,https://www.iitpkd.ac.in
Indian Institute of Technology Tirupati,B.Tech Mechanical,Engineering & Technology,200000,Tirupati,Andhra Pradesh,India,South India,Co-Ed,https://www.iittp.ac.in
Indian Institute of Technology Dharwad,B.Tech CSE,Engineering & Technology,200000,Dharwad,Karnataka,India,South India,Co-Ed,https://www.iitdh.ac.in
Indian Institute of Technology Bhilai,B.Tech CSE,Engineering & Technology,200000,Raipur,Chhattisgarh,India,Central India,Co-Ed,https://www.iitbhilai.ac.in
Indian Institute of Technology Jammu,B.Tech ECE,Engineering & Technology,200000,Jammu,J&K,India,North India,Co-Ed,https://www.iitjammu.ac.in
AIIMS Jodhpur,MD Radiology,Medicine & Health,2000,Jodhpur,Rajasthan,India,North India,Co-Ed,https://www.aiimsjodhpur.edu.in
AIIMS Bhopal,MBBS,Medicine & Health,1390,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.aiimsbhopal.edu.in
AIIMS Rishikesh,MBBS,Medicine & Health,1390,Rishikesh,Uttarakhand,India,North India,Co-Ed,https://www.aiimsrishikesh.edu.in
AIIMS Bhubaneswar,MBBS,Medicine & Health,1390,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.aiimsbhubaneswar.nic.in
AIIMS Patna,MBBS,Medicine & Health,1390,Patna,Bihar,India,East India,Co-Ed,https://www.aiimspatna.org
IIM Shillong,MBA,Management,1500000,Shillong,Meghalaya,India,North East India,Co-Ed,https://www.iimshillong.ac.in
NIT Meghalaya,B.Tech CSE,Engineering & Technology,140000,Shillong,Meghalaya,India,North East India,Co-Ed,https://www.nitm.ac.in
Dibrugarh University,M.Sc Computer Science,Engineering & Technology,30000,Dibrugarh,Assam,India,North East India,Co-Ed,https://www.dibru.ac.in
Mizoram University,B.Sc Information Technology,Engineering & Technology,25000,Aizawl,Mizoram,India,North East India,Co-Ed,https://www.mzu.edu.in
Manipur University,M.Sc Biotechnology,Life Sciences,28000,Imphal,Manipur,India,North East India,Co-Ed,https://www.manipuruniv.ac.in
Nagaland University,B.A. Political Science,Social Sciences,15000,Kohima,Nagaland,India,North East India,Co-Ed,https://www.nagalanduniversity.ac.in
Tripura University,B.Sc Physics,Science & Research,15000,Agartala,Tripura,India,North East India,Co-Ed,https://www.tripurauniv.ac.in
Sikkim Manipal University,B.Tech CSE,Engineering & Technology,150000,Gangtok,Sikkim,India,North East India,Co-Ed,https://www.smit.smu.edu.in
University of Science and Technology Meghalaya,B.Tech ECE,Engineering & Technology,100000,Ri-Bhoi,Meghalaya,India,North East India,Co-Ed,https://www.ustm.ac.in
Gauhati Commerce College,B.Com,Commerce & Finance,12000,Guwahati,Assam,India,North East India,Co-Ed,https://www.gccollege.ac.in
Indian Statistical Institute,B.Stat,Science & Research,35000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.isical.ac.in
Indian Statistical Institute,M.Stat,Science & Research,30000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.isical.ac.in
IIM Rohtak,MBA,Management,1400000,Rohtak,Haryana,India,North India,Co-Ed,https://www.iimrohtak.ac.in
IIM Ranchi,MBA HR,Management,1400000,Ranchi,Jharkhand,India,East India,Co-Ed,https://www.iimranchi.ac.in
IIM Raipur,MBA,Management,1300000,Raipur,Chhattisgarh,India,Central India,Co-Ed,https://www.iimraipur.ac.in
IIM Udaipur,MBA,Management,1600000,Udaipur,Rajasthan,India,North India,Co-Ed,https://www.iimu.ac.in
IIM Vizag,MBA,Management,1200000,Visakhapatnam,Andhra Pradesh,India,South India,Co-Ed,https://www.iimv.ac.in
IIM Nagpur,MBA,Management,1350000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.iimnagpur.ac.in
IIM Bodh Gaya,MBA,Management,1000000,Bodh Gaya,Bihar,India,East India,Co-Ed,https://www.iimbg.ac.in
IIM Amritsar,MBA,Management,1100000,Amritsar,Punjab,India,North India,Co-Ed,https://www.iimamritsar.ac.in
IIM Sambalpur,MBA,Management,1000000,Sambalpur,Odisha,India,East India,Co-Ed,https://www.iimsambalpur.ac.in
IIM Sirmaur,MBA,Management,1050000,Sirmaur,Himachal Pradesh,India,North India,Co-Ed,https://www.iimsirmaur.ac.in
IIM Jammu,MBA,Management,1150000,Jammu,J&K,India,North India,Co-Ed,https://www.iimj.ac.in
IIM Kashipur,MBA,Management,1300000,Kashipur,Uttarakhand,India,North India,Co-Ed,https://www.iimkashipur.ac.in
National Institute of Fashion Technology Bengaluru,B.Des Fashion Design,Architecture & Design,180000,Bengaluru,Karnataka,India,South India,Co-Ed,https://nift.ac.in/bengaluru
National Institute of Fashion Technology Hyderabad,B.Des Textile,Architecture & Design,180000,Hyderabad,Telangana,India,South India,Co-Ed,https://nift.ac.in/hyderabad
National Institute of Fashion Technology Mumbai,B.Des Leather Design,Architecture & Design,190000,Mumbai,Maharashtra,India,West India,Co-Ed,https://nift.ac.in/mumbai
Symbiosis Centre for Management & HRD,MBA HR,Management,750000,Pune,Maharashtra,India,West India,Co-Ed,https://www.scmhrd.edu
Symbiosis Institute of International Business,MBA IB,Management,800000,Pune,Maharashtra,India,West India,Co-Ed,https://www.siib.ac.in
SCIT Pune,MBA IT,Management,700000,Pune,Maharashtra,India,West India,Co-Ed,https://www.scit.edu
Welingkar Institute of Management,PGDM,Management,750000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.welingkar.org
K.J. Somaiya Institute of Management,MBA,Management,1500000,Mumbai,Maharashtra,India,West India,Co-Ed,https://simsr.somaiya.edu
Prin. L.N. Welingkar Institute of Management,PGDM (Marketing),Management,680000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.welingkar.org/bengaluru
IFMR Graduate School of Business (KREA),MBA,Management,1400000,Sri City,Andhra Pradesh,India,South India,Co-Ed,https://www.krea.edu.in/ifmr
Manipal Institute of Technology,B.Tech ECE,Engineering & Technology,210000,Manipal,Karnataka,India,South India,Co-Ed,https://manipal.edu/mit.html
MIT WPU Pune,B.Tech CSE,Engineering & Technology,160000,Pune,Maharashtra,India,West India,Co-Ed,https://www.mitwpu.edu.in
Institute of Chemical Technology Mumbai,B.Tech Chemical,Engineering & Technology,120000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.ictmumbai.edu.in
Homi Bhabha National Institute,Ph.D Nuclear Science,Science & Research,25000,Mumbai,Maharashtra,India,West India,Co-Ed,https://www.hbni.ac.in
Sanjay Gandhi Post Graduate Institute,MD Medicine,Medicine & Health,5000,Lucknow,Uttar Pradesh,India,North India,Co-Ed,https://www.sgpgi.ac.in
Postgraduate Institute Chandigarh (PGI),MD/MS,Medicine & Health,3000,Chandigarh,Punjab,India,North India,Co-Ed,https://www.pgimer.edu.in
NIMHANS Bengaluru,M.D. Psychiatry,Medicine & Health,25000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.nimhans.ac.in
Rajiv Gandhi University of Health Sciences,B.Pharm,Medicine & Health,80000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.rguhs.ac.in
Manipal College of Dental Sciences,BDS,Medicine & Health,500000,Manipal,Karnataka,India,South India,Co-Ed,https://manipal.edu/mcods-manipal.html
NISER Bhubaneswar,B.Sc Research,Science & Research,30000,Bhubaneswar,Odisha,India,East India,Co-Ed,https://www.niser.ac.in
IISER Pune,B.S. M.S. Research,Science & Research,25000,Pune,Maharashtra,India,West India,Co-Ed,https://www.iiserpune.ac.in
IISER Kolkata,B.S. Chemistry,Science & Research,25000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.iiserkol.ac.in
IISER Bhopal,B.S. Physics,Science & Research,25000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.iiserb.ac.in
IISER Thiruvananthapuram,B.S. Biology,Life Sciences,25000,Thiruvananthapuram,Kerala,India,South India,Co-Ed,https://www.iisertvm.ac.in
IISER Mohali,B.S. Mathematics,Science & Research,25000,Mohali,Punjab,India,North India,Co-Ed,https://www.iisermohali.ac.in
Annamalai University,B.Tech CSE,Engineering & Technology,55000,Chidambaram,Tamil Nadu,India,South India,Co-Ed,https://www.annamalaiuniversity.ac.in
Annamalai University,M.Sc Zoology,Life Sciences,30000,Chidambaram,Tamil Nadu,India,South India,Co-Ed,https://www.annamalaiuniversity.ac.in
Annamalai University,MBA,Management,50000,Chidambaram,Tamil Nadu,India,South India,Co-Ed,https://www.annamalaiuniversity.ac.in
Manonmaniam Sundaranar University,B.Sc Computer Science,Science & Research,18000,Tirunelveli,Tamil Nadu,India,South India,Co-Ed,https://www.msuniv.ac.in
Manonmaniam Sundaranar University,M.Sc Physics,Science & Research,22000,Tirunelveli,Tamil Nadu,India,South India,Co-Ed,https://www.msuniv.ac.in
Madurai Kamaraj University,M.Sc Mathematics,Science & Research,24000,Madurai,Tamil Nadu,India,South India,Co-Ed,https://www.mkuniversity.ac.in
Madurai Kamaraj University,MBA,Management,40000,Madurai,Tamil Nadu,India,South India,Co-Ed,https://www.mkuniversity.ac.in
Mother Teresa Women's University,B.Sc Home Science,Life Sciences,20000,Kodaikanal,Tamil Nadu,India,South India,Women,https://www.motherteresawomenuniv.ac.in
Mother Teresa Women's University,M.A. Tamil Literature,Arts & Humanities,18000,Kodaikanal,Tamil Nadu,India,South India,Women,https://www.motherteresawomenuniv.ac.in
Avinashilingam University,B.Sc Nutrition,Life Sciences,30000,Coimbatore,Tamil Nadu,India,South India,Women,https://www.avinuty.ac.in
Avinashilingam University,M.Sc Food Technology,Life Sciences,35000,Coimbatore,Tamil Nadu,India,South India,Women,https://www.avinuty.ac.in
Bharath Institute of Higher Education,B.Tech Mechanical,Engineering & Technology,120000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.bharathuniv.ac.in
Prathyusha Engineering College,B.E. Civil,Engineering & Technology,75000,Tiruvallur,Tamil Nadu,India,South India,Co-Ed,https://www.prathyusha.edu.in
RMD Engineering College,B.E. CSE,Engineering & Technology,80000,Thiruvallur,Tamil Nadu,India,South India,Men,https://www.rmd.ac.in
Saveetha Engineering College,B.E. IT,Engineering & Technology,85000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.saveetha.ac.in
Jerusalem College of Engineering,B.E. Mechanical,Engineering & Technology,80000,Chennai,Tamil Nadu,India,South India,Co-Ed,https://www.jce.ac.in
Sri Venkateswara College of Engineering,B.E. ECE,Engineering & Technology,110000,Kanchipuram,Tamil Nadu,India,South India,Co-Ed,https://www.svce.ac.in
Adhiparasakthi Engineering College,B.E. CSE,Engineering & Technology,70000,Kanchipuram,Tamil Nadu,India,South India,Co-Ed,https://www.apec.edu.in
Francis Xavier Engineering College,B.E. IT,Engineering & Technology,72000,Tirunelveli,Tamil Nadu,India,South India,Co-Ed,https://www.francisxavier.ac.in
National Engineering College,B.E. Mechanical,Engineering & Technology,75000,Kovilpatti,Tamil Nadu,India,South India,Co-Ed,https://www.nec.edu.in
Cape Institute of Technology,B.E. EEE,Engineering & Technology,68000,Kanyakumari,Tamil Nadu,India,South India,Co-Ed,https://www.capeit.ac.in
Ponjesly College of Engineering,B.E. CSE,Engineering & Technology,65000,Kanyakumari,Tamil Nadu,India,South India,Women,https://www.ponjesly.com
Government College of Engineering Salem,B.E. Civil,Engineering & Technology,20000,Salem,Tamil Nadu,India,South India,Co-Ed,https://www.gcesalem.edu.in
Government College of Engineering Dharmapuri,B.E. EEE,Engineering & Technology,20000,Dharmapuri,Tamil Nadu,India,South India,Co-Ed,https://www.gced.edu.in
Sona College of Technology,B.E. CSE,Engineering & Technology,90000,Salem,Tamil Nadu,India,South India,Co-Ed,https://www.sonatech.ac.in
AVS Engineering College,B.E. Mechanical,Engineering & Technology,70000,Salem,Tamil Nadu,India,South India,Co-Ed,https://www.avsengineering.ac.in
Paavai Engineering College,B.E. ECE,Engineering & Technology,75000,Namakkal,Tamil Nadu,India,South India,Co-Ed,https://www.paavai.edu.in
Gnanamani College of Technology,B.E. CSE,Engineering & Technology,68000,Namakkal,Tamil Nadu,India,South India,Co-Ed,https://www.gnanamani.edu.in
Sri GVG Visalakshi College for Women,B.Sc Computer Science,Science & Research,25000,Udumalaipettai,Tamil Nadu,India,South India,Women,https://www.sgvgvcw.in
Dr. NGP Arts and Science College,B.Sc Mathematics,Science & Research,35000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.drngpasc.ac.in
Nirmala College for Women,B.Com,Commerce & Finance,28000,Coimbatore,Tamil Nadu,India,South India,Women,https://www.nirmalacollege.ac.in
Dr. GRD College of Science,M.Sc Chemistry,Science & Research,30000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.grdcolleges.ac.in
Bharathiar University,MBA,Management,35000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.b-u.ac.in
Bharathiar University,M.Sc Physics,Science & Research,28000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.b-u.ac.in
RVS College of Arts and Science,B.Sc Microbiology,Life Sciences,28000,Coimbatore,Tamil Nadu,India,South India,Co-Ed,https://www.rvs.edu.in
Visvesvaraya Technological University (VTU),B.E. CSE,Engineering & Technology,75000,Belagavi,Karnataka,India,South India,Co-Ed,https://vtu.ac.in
Visvesvaraya Technological University (VTU),M.Tech Power Systems,Engineering & Technology,70000,Belagavi,Karnataka,India,South India,Co-Ed,https://vtu.ac.in
University of Mysore,M.Sc Biochemistry,Life Sciences,22000,Mysuru,Karnataka,India,South India,Co-Ed,https://www.uni-mysore.ac.in
University of Mysore,MBA,Management,45000,Mysuru,Karnataka,India,South India,Co-Ed,https://www.uni-mysore.ac.in
Mysuru Royal Academy,B.A. Fine Arts,Arts & Humanities,25000,Mysuru,Karnataka,India,South India,Co-Ed,https://www.royalacademy.edu.in
K.L.E. Institute of Technology,B.E. Mechanical,Engineering & Technology,90000,Hubballi,Karnataka,India,South India,Co-Ed,https://www.kleit.ac.in
SDM College of Engineering,B.E. EEE,Engineering & Technology,85000,Dharwad,Karnataka,India,South India,Co-Ed,https://www.sdmcet.ac.in
Basaveshwar Engineering College,B.E. CSE,Engineering & Technology,80000,Bagalkot,Karnataka,India,South India,Co-Ed,https://www.becbagalkot.ac.in
Poojya Doddappa Appa College of Engineering,B.E. Civil,Engineering & Technology,75000,Kalaburagi,Karnataka,India,South India,Co-Ed,https://www.pdace.ac.in
East West Institute of Technology,B.E. CSE,Engineering & Technology,110000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.ewit.edu
Ramaiah University of Applied Sciences,B.Pharm,Medicine & Health,150000,Bengaluru,Karnataka,India,South India,Co-Ed,https://www.msruas.ac.in
Kuvempu University,B.Sc Computer Science,Science & Research,20000,Shivamogga,Karnataka,India,South India,Co-Ed,https://www.kuvempu.ac.in
Mangalore University,M.Sc Marine Biology,Life Sciences,30000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.mangaloreuniversity.ac.in
NITK Surathkal,B.Tech Civil,Engineering & Technology,150000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.nitk.ac.in
NITK Surathkal,M.Tech Computer Engineering,Engineering & Technology,140000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.nitk.ac.in
Canara Engineering College,B.E. ECE,Engineering & Technology,80000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.canara.org
St. Joseph Engineering College,B.E. CSE,Engineering & Technology,100000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.sjec.ac.in
Srinivas University,B.Tech Artificial Intelligence,Engineering & Technology,130000,Mangaluru,Karnataka,India,South India,Co-Ed,https://www.srinivasuniversity.edu.in
GITAM University,B.Tech CSE,Engineering & Technology,160000,Visakhapatnam,Andhra Pradesh,India,South India,Co-Ed,https://www.gitam.edu
GITAM University,MBA,Management,250000,Visakhapatnam,Andhra Pradesh,India,South India,Co-Ed,https://www.gitam.edu
Acharya Nagarjuna University,B.Tech ECE,Engineering & Technology,80000,Guntur,Andhra Pradesh,India,South India,Co-Ed,https://www.nagarjunauniversity.ac.in
Sri Krishnadevaraya University,B.Sc Chemistry,Science & Research,18000,Anantapur,Andhra Pradesh,India,South India,Co-Ed,https://www.skuniversity.ac.in
Vikrama Simhapuri University,M.A. English,Arts & Humanities,20000,Nellore,Andhra Pradesh,India,South India,Co-Ed,https://www.simhapuriuniv.ac.in
YSR University of Health Sciences,MBBS,Medicine & Health,650000,Vijayawada,Andhra Pradesh,India,South India,Co-Ed,https://www.ntruhs.ap.nic.in
Kakatiya University,B.Tech CSE,Engineering & Technology,70000,Warangal,Telangana,India,South India,Co-Ed,https://www.kakatiya.ac.in
Kakatiya University,MBA,Management,65000,Warangal,Telangana,India,South India,Co-Ed,https://www.kakatiya.ac.in
Mahatma Gandhi University Nalgonda,B.Sc Mathematics,Science & Research,16000,Nalgonda,Telangana,India,South India,Co-Ed,https://www.mgunitwl.ac.in
Telangana University,B.Com,Commerce & Finance,15000,Nizamabad,Telangana,India,South India,Co-Ed,https://www.telanganaUniversity.ac.in
Palamuru University,M.A. Economics,Social Sciences,18000,Mahabubnagar,Telangana,India,South India,Co-Ed,https://www.palamuruuniversity.ac.in
Kerala Agricultural University,B.Sc Agriculture,Agriculture,40000,Thrissur,Kerala,India,South India,Co-Ed,https://www.kau.in
Kerala Agricultural University,M.Sc Agronomy,Agriculture,35000,Thrissur,Kerala,India,South India,Co-Ed,https://www.kau.in
Mahatma Gandhi University Kottayam,B.Tech IT,Engineering & Technology,70000,Kottayam,Kerala,India,South India,Co-Ed,https://www.mgu.ac.in
Mahatma Gandhi University Kottayam,M.Sc Polymer Chemistry,Science & Research,28000,Kottayam,Kerala,India,South India,Co-Ed,https://www.mgu.ac.in
Calicut University,B.Sc Computer Science,Science & Research,20000,Malappuram,Kerala,India,South India,Co-Ed,https://www.uoc.ac.in
Calicut University,MBA,Management,50000,Malappuram,Kerala,India,South India,Co-Ed,https://www.uoc.ac.in
Sree Kerala Varma College,B.Sc Physics,Science & Research,18000,Thrissur,Kerala,India,South India,Co-Ed,https://www.sreekvm.ac.in
Mar Athanasius College of Engineering,B.Tech Electrical,Engineering & Technology,85000,Kothamangalam,Kerala,India,South India,Co-Ed,https://www.mace.ac.in
Saintgits College of Engineering,B.Tech CSE,Engineering & Technology,110000,Kottayam,Kerala,India,South India,Co-Ed,https://www.saintgits.org
Vidya Academy of Science & Technology,B.Tech ECE,Engineering & Technology,90000,Thrissur,Kerala,India,South India,Co-Ed,https://www.vidyaacademy.ac.in
LBS College of Engineering,B.Tech Mechanical,Engineering & Technology,70000,Kasaragod,Kerala,India,South India,Co-Ed,https://www.lbsce.ac.in
Lucknow University,B.Sc Computer Science,Science & Research,22000,Lucknow,Uttar Pradesh,India,North India,Co-Ed,https://www.lkouniv.ac.in
Lucknow University,MBA,Management,50000,Lucknow,Uttar Pradesh,India,North India,Co-Ed,https://www.lkouniv.ac.in
Harcourt Butler Technical University,B.Tech Chemical,Engineering & Technology,80000,Kanpur,Uttar Pradesh,India,North India,Co-Ed,https://www.hbtu.ac.in
Madan Mohan Malaviya University,B.Tech Mining,Engineering & Technology,70000,Gorakhpur,Uttar Pradesh,India,North India,Co-Ed,https://www.mmmut.ac.in
Dr. A.P.J. Abdul Kalam Technical University,B.Tech CSE,Engineering & Technology,80000,Lucknow,Uttar Pradesh,India,North India,Co-Ed,https://www.aktu.ac.in
Agra University (Dr. B.R. Ambedkar),B.Com,Commerce & Finance,15000,Agra,Uttar Pradesh,India,North India,Co-Ed,https://www.dbrau.ac.in
Vikram University,M.Sc Chemistry,Science & Research,20000,Ujjain,Madhya Pradesh,India,Central India,Co-Ed,https://www.vikramuniversity.ac.in
Barkatullah University,MBA,Management,35000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.bubhopal.ac.in
RKDF University Bhopal,B.Tech CSE,Engineering & Technology,90000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.rkdfuniversity.org
Maulana Azad National Institute of Technology,B.Tech Chemical,Engineering & Technology,150000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.manit.ac.in
LNCT Bhopal,B.E. CSE,Engineering & Technology,90000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.lnct.ac.in
Rabindranath Tagore University,B.Tech ECE,Engineering & Technology,80000,Bhopal,Madhya Pradesh,India,Central India,Co-Ed,https://www.aisectuniversity.ac.in
Magadh University,B.A. Political Science,Social Sciences,10000,Bodh Gaya,Bihar,India,East India,Co-Ed,https://www.magadhuniversity.ac.in
Veer Kunwar Singh University,B.Sc Physics,Science & Research,12000,Ara,Bihar,India,East India,Co-Ed,https://www.vksu.ac.in
Nalanda Open University,B.Com,Commerce & Finance,8000,Patna,Bihar,India,East India,Co-Ed,https://www.nalandaopenuniversity.com
Rajasthan Technical University,B.Tech CSE,Engineering & Technology,75000,Kota,Rajasthan,India,North India,Co-Ed,https://www.rtu.ac.in
Jai Narain Vyas University,B.Sc Chemistry,Science & Research,15000,Jodhpur,Rajasthan,India,North India,Co-Ed,https://www.jnvu.edu.in
Mohanlal Sukhadia University,B.E. Electrical,Engineering & Technology,60000,Udaipur,Rajasthan,India,North India,Co-Ed,https://www.mlsu.ac.in
BITS Pilani Hyderabad Campus,B.E. Mechanical,Engineering & Technology,250000,Hyderabad,Telangana,India,South India,Co-Ed,https://www.bits-pilani.ac.in/hyderabad
Banasthali Vidyapith,B.Tech CSE,Engineering & Technology,120000,Newai,Rajasthan,India,North India,Women,https://www.banasthali.org
Banasthali Vidyapith,MBA,Management,180000,Newai,Rajasthan,India,North India,Women,https://www.banasthali.org
Manipal University Jaipur,B.Tech CSE,Engineering & Technology,200000,Jaipur,Rajasthan,India,North India,Co-Ed,https://www.jaipur.manipal.edu
Poornima University,B.Tech ECE,Engineering & Technology,140000,Jaipur,Rajasthan,India,North India,Co-Ed,https://www.poornima.edu.in
GTU Gujarat,B.E. Mechanical,Engineering & Technology,65000,Ahmedabad,Gujarat,India,West India,Co-Ed,https://www.gtu.ac.in
Marwadi University,B.Tech AI,Engineering & Technology,160000,Rajkot,Gujarat,India,West India,Co-Ed,https://www.marwadiuniversity.ac.in
Hemchandracharya North Gujarat University,B.Sc Computer Science,Science & Research,18000,Patan,Gujarat,India,West India,Co-Ed,https://www.ngu.ac.in
Veer Narmad South Gujarat University,B.E. Civil,Engineering & Technology,60000,Surat,Gujarat,India,West India,Co-Ed,https://www.vnsgu.ac.in
Saurashtra University,M.Sc Physics,Science & Research,20000,Rajkot,Gujarat,India,West India,Co-Ed,https://www.saurashtrauniversity.edu
Maharaja Sayajirao University of Baroda,B.Sc Biochemistry,Life Sciences,22000,Vadodara,Gujarat,India,West India,Co-Ed,https://www.msubaroda.ac.in
Navrachana University,B.Tech Mechanical,Engineering & Technology,150000,Vadodara,Gujarat,India,West India,Co-Ed,https://www.nuv.ac.in
Solapur University,B.Tech CSE,Engineering & Technology,65000,Solapur,Maharashtra,India,West India,Co-Ed,https://www.su.digitaluniversity.ac
North Maharashtra University,B.Sc IT,Engineering & Technology,30000,Jalgaon,Maharashtra,India,West India,Co-Ed,https://www.nmu.ac.in
Swami Ramanand Teerth Marathwada University,B.E. Mechanical,Engineering & Technology,65000,Nanded,Maharashtra,India,West India,Co-Ed,https://www.srtmun.ac.in
Rashtrasant Tukadoji Maharaj Nagpur University,B.Com,Commerce & Finance,18000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.nagpuruniversity.ac.in
Visvesvaraya NIT Nagpur,B.Tech CSE,Engineering & Technology,150000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.vnit.ac.in
Shri Ramdeobaba University,B.Tech Mechanical,Engineering & Technology,130000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.rknec.edu
Priyadarshini College of Engineering,B.E. CSE,Engineering & Technology,90000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.pcenagpur.edu
G.H. Raisoni College of Engineering,B.E. CSE,Engineering & Technology,120000,Nagpur,Maharashtra,India,West India,Co-Ed,https://www.ghrce.raisoni.net
MIT College of Engineering (MITCOE),B.E. IT,Engineering & Technology,130000,Pune,Maharashtra,India,West India,Co-Ed,https://www.mitcoe.edu.in
Sinhgad College of Engineering,B.E. Mechanical,Engineering & Technology,110000,Pune,Maharashtra,India,West India,Co-Ed,https://www.sinhgad.edu
Bharati Vidyapeeth College of Engineering,B.E. ECE,Engineering & Technology,115000,Pune,Maharashtra,India,West India,Co-Ed,https://www.bvucoepune.edu.in
D.Y. Patil International University,B.Tech CSE,Engineering & Technology,180000,Pune,Maharashtra,India,West India,Co-Ed,https://www.dypiiu.ac.in
DY Patil Medical College Pune,MBBS,Medicine & Health,1300000,Pune,Maharashtra,India,West India,Co-Ed,https://www.dypvp.edu.in
Bharati Vidyapeeth Medical College,MBBS,Medicine & Health,1000000,Pune,Maharashtra,India,West India,Co-Ed,https://www.bvumc.ac.in
Symbiosis Medical College for Women,MBBS,Medicine & Health,1100000,Pune,Maharashtra,India,West India,Women,https://www.siu.edu.in
Jadavpur University,B.E. Civil,Engineering & Technology,40000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.jaduniv.edu.in
WBUT (MAKAUT),B.Tech IT,Engineering & Technology,50000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.makautwb.ac.in
St. Xavier's College Kolkata,B.Sc Statistics,Science & Research,35000,Kolkata,West Bengal,India,East India,Co-Ed,https://www.sxccal.edu
Ramakrishna Mission Vidyamandira,B.Sc Physics,Science & Research,20000,Belur,West Bengal,India,East India,Men,https://www.rkmv.ac.in
University of North Bengal,M.Sc Mathematics,Science & Research,20000,Siliguri,West Bengal,India,East India,Co-Ed,https://www.nbu.ac.in
Sikkim University,B.Sc Environmental Science,Science & Research,25000,Gangtok,Sikkim,India,North East India,Co-Ed,https://www.cus.ac.in
Assam University,M.A. Linguistics,Arts & Humanities,18000,Silchar,Assam,India,North East India,Co-Ed,https://www.assam.edu
